id,name,address,latitude,longitude
2741638,Woolworths Rolleston,"Cnr McCauley Street & Rolleston Drive,Rolleston,Rolleston Click and Collect,Rolleston Click and Collect",-43.594,172.3861
2313141,Woolworths Roselands,"Roselands Mall,cnr Great South and Subway Roads,Roselands Click and Collect,Roselands Click and Collect",-37.0589,174.9412
2768262,Woolworths Rotorua,"246 Fenton Street, Victoria,Rotorua Click and Collect,3010,Rotorua Click and Collect",-38.1427,176.254
1878751,Woolworths Rototuna,"3 Fergy Place,Rototuna North,Rototuna Click and Collect,Rototuna Click and Collect",-37.7232,175.2595
2673963,Woolworths Silverdale,"40 Hibiscus Coast Highway,Silverdale Click and Collect,0932,Silverdale Click and Collect",-36.6139,174.6807
1235353,Woolworths Spotswood,"Cnr Manadon St & South Rd,Spotswood Click and Collect,4310,Spotswood Click and Collect",-39.0759,174.0339
2367143,Woolworths Springlands,"133 Middle Renwick Road,Springlands Click and Collect,7201,Springlands Click and Collect",-41.5092,173.9351
1225694,Woolworths St James,"Cnr Hukunui & Thomas Rds,Rototuna,St James Click and Collect,3210,St James Click and Collect",-37.7322,175.2732
1906087,Woolworths St Johns,"134 - 144 Felton Mathew Avenue,St Johns,St Johns Click and Collect,St Johns Click and Collect",-36.8794,174.852
1225566,Woolworths St Lukes,"St Luke Shopping Centre,cnr St Lukes Road & Morningside Drive,St Lukes Click and Collect,1025,St Lukes Click and Collect",-36.8838,174.7342
2367135,Woolworths Stoke,"Cnr Putaitai Street,Stoke Click and Collect,7011,Stoke Click and Collect",-41.3117,173.2338
855866,Woolworths Stratford,"21A - 27 Broadway,State Highway 3,Stratford Click and Collect,4332,Stratford Click and Collect",-39.3272,174.2795
1231998,Woolworths Sunnynook,"Cnr Sycamore Dr & Sunnynook Rd,Sunnynook Click and Collect,0620,Sunnynook Click and Collect",-36.759,174.7408
480066,Woolworths Takanini,"228 Great South Rd,Takanini Click & Collect,Auckland TKN",-37.0476,174.9271
1229219,Woolworths Takapuna,"Barry's Point Rd,Takapuna Click and Collect,0622,Takapuna Click and Collect",-36.7913,174.7655
4141080,Woolworths Taupo Central,"Cnr Spa Rd And Tongariro St,Taupo Central Pick Up,3330,Taupo Central Pick Up",-38.6826,176.0713
3456126,Woolworths Taupo South,"Kokomea Village Centre Lake Terrace ,Taupo South Pickup,Taupo South Pickup",-38.722,176.0793
2682132,Woolworths Tauranga,"618 Cameron Road,Tauranga Click and Collect,3112,Tauranga Click and Collect",-37.7004,176.1577
565356,Woolworths Tawa,"3 Main Road,Tawa Click and Collect,5028,Wellington TW",-41.1865,174.8308
2373720,Woolworths Te Aroha,"85 Whitaker Street,Te Aroha Click and Collect,3320,Te Aroha Click and Collect",-37.545,175.7139
1232007,Woolworths Te Atatu South,"Cnr Edmonton & Te Atatu Rds,Te Atatu South,Te Atatu Sth Click and Collect,0610,Te Atatu Sth Click and Collect",-36.8657,174.6463
2791362,Woolworths Te Awamutu,"180 Sloane Street,Te Awamutu Click and Collect,3800,Te Awamutu Click and Collect",-38.0118,175.3259
913417,Woolworths Te Puke,"Queen St & Boucher Ave,Te Puke Click and Collect,3119,Te Puke Click and Collect",-37.7846,176.3251
1101675,Woolworths Te Rapa,"8 Eagle Way,Te Rapa,Te Rapa Click and Collect,Te Rapa Click and Collect",-37.7464,175.2343
1233474,Woolworths The Palms,"Marshlands Rd,The Palms Click and Collect,8061,The Palms Click and Collect",-43.5054,172.6643
2727190,Woolworths The Valley,"1 Vickers Road,Waiwhakaiho,The Valley Click and Collect,4312,The Valley Click and Collect",-39.0475,174.115
1740953,Woolworths Three Kings,"532 Mount Albert Road,Three Kings Click and Collect ,1042,Three Kings Click and Collect",-36.9093,174.7551
1225046,Woolworths Tikipunga,"cnr Paramount Parade & Wanaka Street,Tikipunga Click and Collect,0112,Tikipunga Click and Collect",-35.6832,174.321
2791733,Woolworths Timaru,"9 Browne Street, Parkside,Timaru Click and Collect,7910,Timaru Click and Collect",-44.4026,171.2539
3605672,Woolworths Timaru North,"233 Evans Street, SH1,Timaru North Click and Collect,7910,Timaru North Click and Collect",-44.3718,171.2423
942745,Woolworths Tokoroa,"12 - 20 O'Sullivan Drive,Tokoroa,Tokoroa Click and Collect,3420,Tokoroa Click and Collect",-38.222,175.8737
2810937,Woolworths Trafalgar Park,"Cnr Paruparu Rd &, Halifax Street, Nelson,TrafalgarPark ClickandCollect,7010,TrafalgarPrk Click and Collect",-41.2702,173.2815
1223959,Woolworths Upper Hutt,"13-19 Queen Street,Upper Hutt,Upper Hutt Click and Collect,5372,Upper Hutt Click and Collect",-41.1227,175.071
2373711,Woolworths Victoria Ave,"433 Victoria Avenue,Victoria Ave Click and Collect,4500,Victoria Ave Click and Collect",-39.925,175.0381
1600666,Woolworths Vogeltown,"30 Hori Street,New Plymouth,Vogeltown Click and Collect,Vogeltown Click and Collect",-39.0776,174.0829
3059814,Woolworths Waiata Shores,"2 Periko Way, ,Waiata Shore Click and Collect,2112,Waiata Shore Click and Collect",-37.036,174.9057
4156860,Woolworths Waiheke,"13/19 Belgium Street,Ostend,CD Waiheke Click and Collect,1081,Waiheke Click and Collect",-36.795,175.0459
2373716,Woolworths Waikanae,"Ngaio Road,Waikanae Click and Collect,5391,Waikanae Click and Collect",-40.8763,175.0652
1488549,Woolworths Waikiwi,"Cnr North Road & Durham Street,Waikiwi,Waikiwi Click and Collect,Waikiwi Click and Collect",-46.3751,168.3471
3838267,Woolworths Waimakariri Junction,"6 Hakarau Road,Waimak Junction,Waimak Click and Collect,Waimak Click and Collect",-43.3766,172.6481
1230110,Woolworths Wainuiomata,"18 The Strand,Wainuiomata,Wainui Click and Collect,5373,Wainuiomata Click and Collect",-41.2607,174.9437
951715,Woolworths Waipukurau,"Ruataniwha Street,Waipukurau Click and Collect,4210,Waipukurau Click and Collect",-39.9954,176.5576
1488276,Woolworths Waitangi,"9 Blackbridge Road,Paihia,Waitangi Click and Collect,Waitangi Click and Collect",-35.2792,174.0813
1716255,Woolworths Warkworth,"20-24 Neville Street,Warkworth,Warkworth Click and Collect,Warkworth Click and Collect",-36.3995,174.6643
592572,Woolworths Westgate,"Westgate Shopping Centre,Cnr Westgate & Fern Hill Drive Massey North,Westgate Click & Collect,0614,Auckland WG",-36.8209,174.6141
2768276,Woolworths Whakatane,"105/125 Commerce Street,Whakatane Click and Collect,3120,Whakatane Click and Collect",-37.9561,176.9949
2770231,Woolworths Whanganui,"Cnr Taupo Quay &, Wilson Street,Wanganui Click and Collect,4500,Wanganui Click and Collect",-39.9358,175.0532
1248095,Woolworths Whangaparaoa,"Cnr Whangaparaoa Rd & Wade Dr,Whangaparaoa Click and Collect,0943,Whangaparaoa Click and Collect",-36.6365,174.7466
2686464,Woolworths Whangarei,"Whangarei Retail Centre, Okara DriveCountdown Whangarei,Whangarei Click and Collect,0110,Whangarei Click and Collect",-35.7308,174.3273
2791350,Woolworths Whitianga,"24 Joan Gaskell Drive,Whitianga Click and Collect,3510,Whitianga Click and Collect",-36.8337,175.6944
