name,unitPrice,actualPrice,store,ingredient
Masterfoods Garlic Finely Crushed Jar 170g,$0.22 / 10g,$3.80 each.,Woolworths Auckland Quay Street,garlic
Just Garlic Fresh Vegetable Garlic Crushed 185g,$17.30 / 1kg,$3.20 each.,Woolworths Auckland Quay Street,garlic
Woolworths Garlic Powder Shaker 50g,$0.54 / 10g,$2.70 each.,Woolworths Auckland Quay Street,garlic
Just Garlic Fresh Vegetable Garlic Crushed Jar 380g,$13.16 / 1kg,$5.00 each.,Woolworths Auckland Quay Street,garlic
Woolworths Garlic Granules Shaker 45g,$0.60 / 10g,$2.70 each.,Woolworths Auckland Quay Street,garlic
Fresh Vegetable Garlic Chives 1ea,$5.49 / 1ea,$5.49 each.,Woolworths Auckland Quay Street,garlic
Solo Fresh Vegetable Garlic Prepacked 230g,$18.65 / 1kg,$4.29 each.,Woolworths Auckland Quay Street,garlic
Just Garlic Fresh Vegetable Garlic Crushed Jar 1kg,$12.29 / 1kg,$12.29 each.,Woolworths Auckland Quay Street,garlic
Just Foods Garlic & Ginger Mix Crushed Jar 380g,$8.39 / 1kg,$3.19 each.,Woolworths Auckland Quay Street,garlic
Gourmet Garden Fresh Vegetable Mixed Herbs Lightly Dried Packet 8g,$7.81 / 10g,$6.25 each.,Woolworths Auckland Quay Street,mixed herbs
Gourmet Garden Fresh Vegetable Parsley Lightly Dried Packet 8g,$7.81 / 10g,$6.25 each.,Woolworths Auckland Quay Street,mixed herbs
Gourmet Garden Fresh Vegetable Basil Lightly Dried Packet 10g,$6.25 / 10g,$6.25 each.,Woolworths Auckland Quay Street,mixed herbs
Gourmet Garden Fresh Vegetable Coriander Lightly Dried Packet 8g,$7.81 / 10g,$6.25 each.,Woolworths Auckland Quay Street,mixed herbs
Greggs Mixed Herbs Box 15g,$1.73 / 10g,$2.59 each.,Woolworths Auckland Quay Street,mixed herbs
Woolworths Mixed Herbs Shaker 12g,$2.25 / 10g,$2.70 each.,Woolworths Auckland Quay Street,mixed herbs
Mrs Rogers Naturals Mixed Herbs Drum 40g,$1.72 / 10g,$6.89 each.,Woolworths Auckland Quay Street,mixed herbs
Mrs Rogers Eco Pack Premium Mixed Herbs Organic Box 12g,$2.92 / 10g,$3.50 each.,Woolworths Auckland Quay Street,mixed herbs
Masterfoods Herbs Mixed Jar 40g,$2.12 / 10g,$8.49 each.,Woolworths Auckland Quay Street,mixed herbs
Gourmet Garden Fresh Vegetable Chilli Lightly Dried Packet 10g,$6.25 / 10g,$6.25 each.,Woolworths Auckland Quay Street,mixed herbs
Mingle The Iconic Duo Garlic & Herb Mix Natural Seasoning Shaker 50g,$1.18 / 10g,$5.90 each.,Woolworths Auckland Quay Street,mixed herbs
Woolworths Italian Herbs Shaker 10g,$2.70 / 10g,$2.70 each.,Woolworths Auckland Quay Street,mixed herbs
Masterfoods Garlic & Herb Salt Blend Shaker 62g,$0.56 / 10g,$3.49 each.,Woolworths Auckland Quay Street,mixed herbs
Masterfoods Garlic Herb Salt Blend Shaker 200g,$0.42 / 10g,$8.49 each.,Woolworths Auckland Quay Street,mixed herbs
Mrs Rogers Eco Pack Italian Herbs Organic Box 10g,$3.50 / 10g,$3.50 each.,Woolworths Auckland Quay Street,mixed herbs
Maggi Instant Gravy Mix Chicken & Herb Sachet 27g,$0.48 / 10g,$1.29 each.,Woolworths Auckland Quay Street,mixed herbs
Woolworths Rosemary Flaked Leaves Shaker 18g,$1.50 / 10g,$2.70 each.,Woolworths Auckland Quay Street,mixed herbs
Woolworths Oregano Flaked Leaves Jar 10g,$2.70 / 10g,$2.70 each.,Woolworths Auckland Quay Street,mixed herbs
Woolworths Parsley Flakes Shaker 5g,$5.40 / 10g,$2.70 each.,Woolworths Auckland Quay Street,mixed herbs
Woolworths Thyme Flaked Leaves Shaker 12g,$2.25 / 10g,$2.70 each.,Woolworths Auckland Quay Street,mixed herbs
