store_id,name,address,city,region,latitude,longitude
65defcf2-bc15-490e-a84f-1f13b769cd22,Albany,"Don McKinnon Drive, Albany, Auckland, 0632",Don McKinnon Drive,NI,-36.7307894,174.709932
6c73764e-b8e6-4e55-ad37-f6a9d207da1f,Alderman Drive Henderson,"Alderman Drive, Henderson, 0612, Auckland",Alderman Drive,NI,-36.8772447,174.6329565
60561e46-ece7-43a7-b142-9b14812586e4,Botany,"Botany Town Centre, 501 Ti Rakau Drive, Northpark, Auckland, 2013",Botany Town Centre,NI,-36.9294911,174.9139646
3e82142c-78dc-46f3-82ec-28e65fcf84c9,Clendon,"16 Robert Ross Pl, Clendon Park, Auckland 2103",16 Robert Ross Pl,NI,-37.0320497,174.8662383
3404c253-577f-45ca-b301-c98312e46efb,Glen Innes,"182 Apirana Ave, Glen Innes, Auckland 1072",182 Apirana Ave,NI,-36.8758461,174.8551721
2a1b331a-fc4a-496a-b072-e97cc8f70cae,Highland Park,"503-505 Pakuranga Road, Highland Park 2010",503-505 Pakuranga Road,NI,-36.9019815,174.8972265
92086ded-a55d-4241-a364-7d7ea91531b4,Lincoln Road,"Lincoln Road Shopping Centre, Henderson, Auckland 0610",Lincoln Road Shopping Centre,NI,-36.861885,174.6293822
9cd8eb60-3222-4efc-bd7c-50e03e6a81a4,Manukau,"6 Cavendish Dr, Manukau, Auckland 2104",6 Cavendish Dr,NI,-36.9929697,174.862599
b2e98a14-c8ca-401e-99ed-edf74570c6f6,Mt Albert,"1167/1177 New North Rd, Mount Albert, Auckland 1025",1167/1177 New North Rd,NI,-36.8821778,174.7188376
94ef1985-cab1-4b39-a2f3-230120f03c16,Mangere,"Corner of Bader Drive and Orly Avenue, Mangere, Auckland, 2022",Corner of Bader Drive and Orly Avenue,NI,-36.9684422,174.7969248
5f167936-79ae-4f6a-b9d2-74afe1bb096b,Ormiston,"1 Bellingham Rd, Flat Bush, Auckland 2019",1 Bellingham Rd,NI,-36.9647454,174.9143936
a7d09522-bee2-41e4-8fe0-0b82b7f342f5,Papakura,"331 Great South Rd, Takanini, Auckland 2112",331 Great South Rd,NI,-37.0531295,174.9314516
c2204dae-579e-4b6b-9d42-2e13ceaa6031,Pukekohe,"Cnr Queen & Harris Streets, Pukekohe, 2120",Cnr Queen & Harris Streets,NI,-37.2042068,174.8999774
e1925ea7-01bc-4358-ae7c-c6502da5ab12,Royal Oak,"691 Manukau Rd, Royal Oak, Auckland 1023",691 Manukau Rd,NI,-36.9105161,174.7752785
64eab5b1-8d79-45f4-94f1-02b8cf8b6202,Silverdale,"20 Hibiscus Coast Hwy, Silverdale 0993",20 Hibiscus Coast Hwy,NI,-36.6203448,174.6734797
c0f80e87-16be-4488-9553-da437e8c6c2a,Sylvia Park,"Sylvia Park, 286 Mount Wellington Hwy, 1060",Sylvia Park,NI,-36.9173142,174.8415614
002b83de-b79d-4228-a787-bd0765b6cb56,Wairau Road,"30-60 Wairau Rd, Glenfield, Auckland 0627",30-60 Wairau Rd,NI,-36.7779035,174.7447516
8f0d70be-5cb7-464b-99cb-8b0130671895,Warkworth,"Corner Hudson Road and SH1, Warkworth 0984",Corner Hudson Road and SH1,NI,-36.39223,174.6494765
33d8d6fc-861a-45ff-9937-5ccdb55eaede,Westgate,"17/19 Fred Taylor Dr, Massey, Auckland 0814",17/19 Fred Taylor Dr,NI,-36.8204745,174.6085954
714431ab-6e39-4df6-ac77-cfc5c1e25bc8,Cameron Road,"476 Cameron Road, Tauranga, 3110",476 Cameron Road,NI,-37.6965033,176.1616406
3bfe040b-f0c9-45e0-949b-b9ad5a591d55,Papamoa,"42 Domain Road, Papamoa, 3118",42 Domain Road,NI,-37.7021482,176.2836531
7d48a781-4f68-4c91-a908-8659e1b22f95,Rotorua,"Cnr Fenton & Amohau Streets, Rotorua, 3010",Cnr Fenton & Amohau Streets,NI,-38.140666,176.2546945
b92cc33f-b5a8-4b57-9b82-412946800020,Taupo,"Ruapehu Street, Taupo",Ruapehu Street,NI,-38.68642,176.0725823
1c388d5e-29ac-4956-b476-cb3431353d2e,Tauriko,"2 Taurikura Drive, Tauriko, 3110",2 Taurikura Drive,NI,-37.7383423,176.1053835
50b1216b-d066-4457-b88b-9bccf97bf6d3,Whakatane,"King St, Kopeopeo, 3120",King St,NI,-37.9647854,176.9821491
