store_id,name,url,address,latitude,longitude,banner,click_and_collect,delivery
c15270b3-4ced-4b8e-be01-16b9fc31c4c7,New World Tokoroa,/upper-north-island/waikato/tokoroa,"84 Bridge Street, Tokoroa, 3420",-38.218917,175.867537,MNW,True,True
79b03f4b-5e2b-437c-83f8-54d9dace4999,New World Turangi,,"19 Ohuanga Street, Turangi, 3334",-38.991014,175.809118,MNW,True,True
2fe74bf7-5123-4faa-8fcb-97db954a714d,New World Waihi,/upper-north-island/waikato/waihi,"35 Kenny Street, Waihi, 3610",-37.393116,175.839644,MNW,True,True
55231137-b7be-48f2-b8a0-6aaed59f4540,New World Waikanae,/lower-north-island/wellington/waikanae,"5 Parata Street, Waikanae, 5036",-40.874943,175.066744,MNW,True,True
04ba529d-3dee-4f86-adb6-62b0111114d7,New World Waimate,/south-island/canterbury/waimate,"95 Queen Street, Waimate, Waimate, 7924",-44.7337,171.0472,MNW,True,True
b2f012df-3c55-4bca-98ba-e30c3cd3aa70,New World Waipukurau,/lower-north-island/gisborne-and-hawkes-bay/waipukurau,"27 Russell Street, Waipukurau, 4200",-39.99467,176.55584,MNW,True,True
83f2d5fc-132b-4603-aaaf-323e4a426fa0,New World Wairoa,/lower-north-island/gisborne-and-hawkes-bay/wairoa,"51 Queen Street, Wairoa, 4108",-39.033806,177.418651,MNW,True,True
10de9574-cf98-4bc8-973d-3d3e36cb0c4d,New World Waitaki,/south-island/otago-and-southland/waitaki,"402 Thames Highway, Oamaru North, Oamaru, 9400",-45.0766,170.9849,MNW,True,False
99798e55-18bb-4f16-9f3e-425c555111a7,New World Waitara,/lower-north-island/taranaki-and-whanganui/waitara,"42 Queen Street, Waitara, 4320",-39.000167,174.236804,MNW,True,True
0d045690-bd75-42d8-a7bc-ee44aa57fc61,New World Waiuku,/upper-north-island/auckland/waiuku,"25-49 Bowen Street, Waiuku, 2123",-37.249975,174.727925,MNW,True,True
341f876f-9a83-4882-aa79-5e5c9dc8fb2e,New World Wanaka,,"20 Dunmore Street, Wānaka, Wānaka, 9305",-44.6963,169.135,MNW,True,True
b012c209-9dfe-48c2-940c-acf73afebed4,New World Warkworth,/upper-north-island/auckland/warkworth,"6 Percy Street, Warkworth, 0910",-36.398709,174.666795,MNW,True,True
89ba1656-0ad7-4af0-8694-08bf335e99b9,New World Wellington City,/lower-north-island/wellington/wellington-city,"279 Wakefield Street, Wellington, 6011",-41.292409,174.784342,MNW,True,True
a799b706-07b8-4825-9524-95b03c9e0b14,New World Westend,/upper-north-island/bay-of-plenty/westend,"247 Old Taupo Road, Hillcrest, Rotorua, 3015",-38.146066,176.237248,MNW,True,True
401accb9-6430-45a1-888d-29337ab34f12,New World Westport,/south-island/west-coast/westport,"244 Palmerston St, Nelson, Westport, 7825",-41.7575,171.5989,MNW,True,True
96c43bec-8c0d-4752-b417-266546fddda1,New World Whakatane,/upper-north-island/bay-of-plenty/whakatane,"51 Kakahoroa Drive, Whakatane, 3120",-37.950929,176.993759,MNW,True,True
c4d78c33-1f9c-4039-8cd5-82ddb43fbe16,New World Whangamata,/upper-north-island/waikato/whangamata,"308 Aickin Road, Whangamata, 3620",-37.201793,175.867411,MNW,True,True
24be83cd-b9f2-47f0-8895-82867e3d4f08,New World Whanganui,/lower-north-island/taranaki-and-whanganui/whanganui,"374 Victoria Avenue, Whanganui, 4500",-39.926194,175.041161,MNW,True,True
7508cf88-9fd0-4e71-b2f2-d564b1decf8d,New World Whangaparaoa,/upper-north-island/auckland/whangaparaoa,"580 Whangaparaoa Road, Stanmore Bay, Whangaparaoa, 0932",-36.628789,174.732596,MNW,True,True
f5da324f-f415-4c8d-a360-ea8d2c74d49b,New World Whitby,/lower-north-island/wellington/whitby,"Discovery Drive, Whitby Village Centre, Porirua, 5024",-41.117024,174.893023,MNW,True,True
412c5dcf-142c-4133-b766-7bd21c30ae01,New World Whitianga,/upper-north-island/waikato/whitianga,"1 Joan Gaskell Drive, Whitianga, 3510",-36.834308,175.699435,MNW,True,True
3ee7214b-6df4-4fdb-9dd6-3b2fc252ba6b,New World Wigram,/south-island/canterbury/wigram,"51 Skyhawk Road, Wigram, Christchurch, 8042",-43.5532267333,172.5580681167,MNW,True,True
d0914aa0-ab30-4354-a223-6ba9ef6069c1,New World Windsor,/south-island/otago-and-southland/windsor,"51 Windsor Street, Windsor, Invercargill, 9810",-46.3954,168.3661,MNW,True,True
5c3070dd-312f-4755-a92c-7607b2a694e4,New World Winton,/south-island/otago-and-southland/winton,"293 Great North Road, Winton, Winton, 9720",-46.1417,168.3256,MNW,True,True
