Store Name,Suburb,Address,Postcode,State,SiteDataID,latitude,longitude,Key Facilities
Rolleston Woolworths,"Rolleston, Christchurch",Cnr Mccauley St & Rolleston Dr,7614,CAN,2741638,-43.594,172.3861,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Waipukurau Woolworths,Waipukurau,Rautaniwha St,4200,HKB,951715,-39.9954,176.5576,"Fresh flowers, Rug Doctor"
Ashburton Woolworths,Ashburton,Cnr East & Peter Streets,7700,CAN,1155526,-43.902,171.7519,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Ashburton South Woolworths,Ashburton,2 South St,7700,CAN,1155560,-43.9085,171.7418,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Flaxmere Woolworths,Flaxmere,4 Swansea Road,4120,HKB,null,-39.624811,176.78653,"Fresh Bakery, Fresh flowers, Liquor, Rug Doctor, Seafood"
Hastings Woolworths,Hastings,301 Queen Street West,4122,HKB,2942598,-39.6388,176.8421,"Fresh flowers, Rug Doctor"
Carlyle Woolworths,Napier,33 Carlyle Street,4110,HKB,2770176,-39.4928,176.9113,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Napier Woolworths,Napier,Cnr Munroe & Dickens Streets,4110,HKB,2442758,-39.4928,176.9138,"ATM, Rug Doctor, Supergold card"
Taupo South Woolworths,Taupo,16 Kokomea Village Drive,3330,WKO,3456126,-38.722,176.0793,"Fresh Bakery, Liquor, Seafood"
Taupo Central Woolworths,Taupo,Cnr of Spa Rd and Tongariro St,3330,WKO,4141080,-38.6826,176.0713,"Fresh Bakery, Fresh flowers"
Otorohanga Woolworths,Ototohanga,119-123 Maniapoto St,3900,WKO,2359781,-38.19,175.2099,"Fresh flowers, Rug Doctor"
Timaru North Woolworths,Timaru,"The Showgrounds, 233 Evans Street",7910,CAN,3605672,-44.3718,171.2423,"Fresh Bakery, Liquor, Seafood"
Timaru Woolworths,Timaru,9 Browne Street,7910,CAN,2791733,-44.4026,171.2539,"ATM, Fresh flowers, Rug Doctor"
Te Awamutu Woolworths,Te Awamutu,180 Sloane Street,3800,WKO,2791362,-38.0118,175.3259,"ATM, Fresh flowers, Rug Doctor"
Tokoroa Woolworths,Tokoroa,12 - 20 O'Sullivan Dr,3420,WKO,942745,-38.222,175.8737,"Fresh flowers, Rug Doctor"
Putaruru Woolworths,Putaruru,Tirau Street,3411,WKO,946342,-38.0473,175.7806,"Fresh flowers, Rug Doctor"
Cambridge Woolworths,Cambridge,Cnr Queen & Empire Streets,3434,WKO,1332617,-37.8923,175.4702,"ATM, Fresh flowers, Rug Doctor"
Dinsdale Woolworths,"Dinsdale, Hamilton",47 Whatawhata Road,3204,WKO,1060362,-37.7964,175.2454,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Bridge Street Woolworths,Hamilton,Cnr Bridge & Anglesea Street,3204,WKO,1207646,-37.7934,175.2863,"ATM, EV Charging, Fresh flowers, Rug Doctor"
Hamilton Woolworths,Hamilton,Cnr Anglesea & Liverpool Streets,3204,WKO,2673966,-37.7813,175.2734,"EV Charging, Fresh flowers, Rug Doctor"
Claudelands Woolworths,Hamilton East,160 Peachgrove Road,3216,WKO,904435,-37.7785,175.299,"EV Charging, Fresh flowers, Rug Doctor, Soft plastic recycling"
Te Rapa Woolworths,"Te Rapa, Hamilton",8 Eagle Way,3200,WKO,1101675,-37.7464,175.2343,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Chartwell Woolworths,"Chartwell, Hamilton","Chartwell Mall, Lyndon Court",3210,WKO,264573,-37.7505,175.278,"Fresh flowers, Rug Doctor"
St James Woolworths,"Rototuna, Hamilton",Cnr Hukunui & Thomas Rds,3210,WKO,1225694,-37.7322,175.2732,"Fresh flowers, Rug Doctor"
Rototuna Woolworths,Rototuna North,3 Fergy Place,3210,WKO,1878751,-37.7232,175.2595,"EV Charging, Fresh flowers, Rug Doctor, Soft plastic recycling"
Rotorua Woolworths,Rotorua,246 Fenton Street,3010,BOP,2768262,-38.1427,176.254,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Fairy Springs Woolworths,Rotorua,54 Fairy Springs Road,3015,BOP,904436,-38.1201,176.228,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Matamata Woolworths,Matamata,Cnr Arawa & Gouk Sts,3400,WKO,911335,-37.8088,175.774,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Huntly Woolworths,Huntly,16 - 18 Tumate Mahuta Drive,3700,WKO,933798,-37.5641,175.1585,"EV Charging, Fresh flowers, Rug Doctor, Soft plastic recycling"
Morrinsville Woolworths,Morrinsville,66 Studholme Street,3300,WKO,1244356,-37.6569,175.5276,"Fresh flowers, Rug Doctor"
Te Aroha Woolworths,Te Aroha,85 Whitaker Street,3320,BOP,2373720,-37.545,175.7139,"Fresh flowers, Rug Doctor"
Oamaru Woolworths,Oamaru,108-116 Thames St,9400,OTA,1203129,-45.0971,170.9704,"Fresh flowers, Rug Doctor"
